CC	KO	n_changes	parameter	var_type	variable
0.386088422597	WT		ADH1	flux	ADH_ADH1
-9.616642958e-15	WT		ADH5	flux	ADH_ADH1
0.0671469952299	WT		CDC19	flux	ADH_ADH1
0.00309112011922	WT		ENO1	flux	ADH_ADH1
0.0137709555091	WT		ENO2	flux	ADH_ADH1
0.107228394902	WT		FBA1	flux	ADH_ADH1
0.00104858155169	WT		GLK1	flux	ADH_ADH1
-9.616642958e-15	WT		GPD1	flux	ADH_ADH1
-9.616642958e-15	WT		GPD2	flux	ADH_ADH1
0.00292872028989	WT		GPM1	flux	ADH_ADH1
-9.616642958e-15	WT		HOR2	flux	ADH_ADH1
0.0788494561875	WT		HXK1	flux	ADH_ADH1
1.79583485674	WT		HXK2	flux	ADH_ADH1
0.00139683363265	WT		PDC1	flux	ADH_ADH1
1.56000153917e-05	WT		PDC5	flux	ADH_ADH1
1.22802609136e-05	WT		PDC6	flux	ADH_ADH1
-9.616642958e-15	WT		PFK1	flux	ADH_ADH1
0.376592186352	WT		PFK2	flux	ADH_ADH1
0.0240866712568	WT		PGI1	flux	ADH_ADH1
0.182661241198	WT		PGK1	flux	ADH_ADH1
-9.616642958e-15	WT		PGM1	flux	ADH_ADH1
	WT		ADH1	flux	ADH_ADH5
	WT		ADH5	flux	ADH_ADH5
	WT		CDC19	flux	ADH_ADH5
	WT		ENO1	flux	ADH_ADH5
	WT		ENO2	flux	ADH_ADH5
	WT		FBA1	flux	ADH_ADH5
	WT		GLK1	flux	ADH_ADH5
	WT		GPD1	flux	ADH_ADH5
	WT		GPD2	flux	ADH_ADH5
	WT		GPM1	flux	ADH_ADH5
	WT		HOR2	flux	ADH_ADH5
	WT		HXK1	flux	ADH_ADH5
	WT		HXK2	flux	ADH_ADH5
	WT		PDC1	flux	ADH_ADH5
	WT		PDC5	flux	ADH_ADH5
	WT		PDC6	flux	ADH_ADH5
	WT		PFK1	flux	ADH_ADH5
	WT		PFK2	flux	ADH_ADH5
	WT		PGI1	flux	ADH_ADH5
	WT		PGK1	flux	ADH_ADH5
	WT		PGM1	flux	ADH_ADH5
43235265746.9	WT		ADH1	flux	AK
0.194444444444	WT		ADH5	flux	AK
1.94400889002e+11	WT		CDC19	flux	AK
-3295152180.98	WT		ENO1	flux	AK
-61627462159.1	WT		ENO2	flux	AK
-66756720903.1	WT		FBA1	flux	AK
-315791200.778	WT		GLK1	flux	AK
0.194444444444	WT		GPD1	flux	AK
0.194444444444	WT		GPD2	flux	AK
-2733008209.98	WT		GPM1	flux	AK
0.194444444444	WT		HOR2	flux	AK
2.21135786871e+11	WT		HXK1	flux	AK
4344515718.34	WT		HXK2	flux	AK
-1858032.90741	WT		PDC1	flux	AK
-85802.5092593	WT		PDC5	flux	AK
-53350.4259259	WT		PDC6	flux	AK
0.194444444444	WT		PFK1	flux	AK
-9462432358.53	WT		PFK2	flux	AK
-1.85793873455e+11	WT		PGI1	flux	AK
-2.66047849752e+11	WT		PGK1	flux	AK
0.194444444444	WT		PGM1	flux	AK
0.399145920238	WT		ADH1	flux	ATPase
-1.86011316153e-14	WT		ADH5	flux	ATPase
0.0694592651141	WT		CDC19	flux	ATPase
0.00319978189091	WT		ENO1	flux	ATPase
0.0142634164165	WT		ENO2	flux	ATPase
0.11110613132	WT		FBA1	flux	ATPase
0.000981562185649	WT		GLK1	flux	ATPase
-1.86011316153e-14	WT		GPD1	flux	ATPase
-1.86011316153e-14	WT		GPD2	flux	ATPase
0.00303160112671	WT		GPM1	flux	ATPase
-1.86011316153e-14	WT		HOR2	flux	ATPase
0.073787831597	WT		HXK1	flux	ATPase
1.68258639804	WT		HXK2	flux	ATPase
0.00144566746742	WT		PDC1	flux	ATPase
1.61455398727e-05	WT		PDC5	flux	ATPase
1.27096838585e-05	WT		PDC6	flux	ATPase
-1.86011316153e-14	WT		PFK1	flux	ATPase
0.389926907672	WT		PFK2	flux	ATPase
0.0249940334802	WT		PGI1	flux	ATPase
0.189107916478	WT		PGK1	flux	ATPase
-1.86011316153e-14	WT		PGM1	flux	ATPase
0.312911124032	WT		ADH1	flux	ENO_ENO1
-1.75270023535e-14	WT		ADH5	flux	ENO_ENO1
0.139545490312	WT		CDC19	flux	ENO_ENO1
0.829819814711	WT		ENO1	flux	ENO_ENO1
-0.759197389893	WT		ENO2	flux	ENO_ENO1
0.0822698073578	WT		FBA1	flux	ENO_ENO1
0.00112575354595	WT		GLK1	flux	ENO_ENO1
-1.75270023535e-14	WT		GPD1	flux	ENO_ENO1
-1.75270023535e-14	WT		GPD2	flux	ENO_ENO1
0.0023042318477	WT		GPM1	flux	ENO_ENO1
-1.75270023535e-14	WT		HOR2	flux	ENO_ENO1
0.0850877840285	WT		HXK1	flux	ENO_ENO1
1.9250316411	WT		HXK2	flux	ENO_ENO1
0.0028674465868	WT		PDC1	flux	ENO_ENO1
3.20249048215e-05	WT		PDC5	flux	ENO_ENO1
2.5209855619e-05	WT		PDC6	flux	ENO_ENO1
-1.75270023535e-14	WT		PFK1	flux	ENO_ENO1
0.403190665953	WT		PFK2	flux	ENO_ENO1
