met_name	metabolite	pathway	method	Order
L-Phenylalanine	phenylalanine	Aromatic family	AA	0
L-Tryptophan	tryptophan	Aromatic family	AA	0
L-Tyrosine	tyrosine	Aromatic family	AA	0
L-Asparagine	asparagine	Aspartate family	AA	0
L-Aspartate	aspartate	Aspartate family	AA	0
L-Threonine	threonine	Aspartate family	AA	0
L-Arginine	arginine	Glutamate family	AA	0
L-Glutamate	glutamate	Glutamate family	AA	0
L-Glutamine	glutamine	Glutamate family	AA	0
L-Lysine	lysine	Glutamate family	AA	0
L-Proline	proline	Glutamate family	AA	0
L-Histidine	histidine	His&nucleotide	AA	0
L-Citrulline	citrulline	Other	AA	0
L-Homocysteine	homo.cysteine	Other	AA	0
L-Homoserine	homo.serine	Other	AA	0
Ornithine	ornithine	Other	AA	0
L-Alanine	alanine	Pyruvate family	AA	0
L-Leucine	leucine	Pyruvate family	AA	0
L-Valine	valine	Pyruvate family	AA	0
Glycine	glycine	Serine family	AA	0
L-Methionine	methionine	Serine family	AA	0
L-Serine	serine	Serine family	AA	0
D-Glucose 6-phosphate	G6P	Glycolysis	TCA	1
D-Fructose 6-phosphate	F6P	Glycolysis	TCA	2
"D-Fructose 1,6-bisphosphate"	X1.6.FP.	Glycolysis	TCA	3
Glyceraldehyde 3-phosphate	G3P	Glycolysis	TCA	4
Dihydroxyacetone phosphate	DHAP	Glycolysis	TCA	5
3-Phospho-D-glycerate	X2.3.PG	Glycolysis	TCA	6
Phosphoenolpyruvate	PEP	Glycolysis	TCA	7
Pyruvate	Pyr	Glycolysis	TCA	8
6-Phospho-D-gluconate	X6PGlu	PPP	TCA	1
D-Ribulose 5-phosphate	Ru5P	PPP	TCA	2
alpha-D-Ribose 5-phosphate	R5P	PPP	TCA	3
Sedoheptulose 7-phosphate	S7P	PPP	TCA	4
Erythrose 4-phosphate	E4P	PPP	PPP	5
Acetyl-CoA	Acetyl.CoA	TCA	TCA	1
Citrate	citrate	TCA	TCA	2
cis-Aconitate	cis.Aconitate	TCA	TCA	3
2-Oxoglutarate	alpha.ketoglutarate	TCA	TCA	4
Succinate	Succinate	TCA	TCA	5
Fumarate	Fumerate	TCA	TCA	6
L-Malate	Malate	TCA	TCA	7
Oxaloacetate	oxalacetate	TCA	TCA	8
ATP	ATP	Energy metabolism	PPP	1
ADP	ADP	Energy metabolism	PPP	2
AMP	AMP	Energy metabolism	PPP	3
