variable	type	value	KO	ss_status	n_changes
ADH_ADH1	flux	3.69433875659	WT	2.29673717802e-10	0
ADH_ADH5	flux	0.0	WT	2.29673717802e-10	0
AK	flux	-9.99200722163e-16	WT	2.29673717802e-10	0
ATPase	flux	3.50156568205	WT	2.29673717802e-10	0
ENO_ENO1	flux	0.675664822228	WT	2.29673717802e-10	0
ENO_ENO2	flux	3.04546296969	WT	2.29673717802e-10	0
FBA	flux	1.88735293129	WT	2.29673717802e-10	0
GPD	flux	0.0535780706606	WT	2.29673717802e-10	0
GPM	flux	3.72112779192	WT	2.29673717802e-10	0
GPP	flux	0.0535780706606	WT	2.29673717802e-10	0
HXK_GLK1	flux	0.00111522829963	WT	2.29673717802e-10	0
HXK_HXK1	flux	0.0832177618814	WT	2.29673717802e-10	0
HXK_HXK2	flux	1.91367596725	WT	2.29673717802e-10	0
PDC_PDC1	flux	3.64825749817	WT	2.29673717802e-10	0
PDC_PDC5	flux	0.0407778777903	WT	2.29673717802e-10	0
PDC_PDC6	flux	0.0320924159551	WT	2.29673717802e-10	0
PFK	flux	1.88735293129	WT	2.29673717802e-10	0
PGI	flux	1.88735293129	WT	2.29673717802e-10	0
PGK	flux	3.72112779192	WT	2.29673717802e-10	0
PGM	flux	0.0553280130709	WT	2.29673717802e-10	0
PYK_CDC19	flux	3.72112779192	WT	2.29673717802e-10	0
PYK_PYK2	flux	0.0	WT	2.29673717802e-10	0
TDH_TDH1	flux	0.233075988684	WT	2.29673717802e-10	0
TDH_TDH2	flux	0.0	WT	2.29673717802e-10	0
TDH_TDH3	flux	3.48805180324	WT	2.29673717802e-10	0
TPI	flux	1.83377486063	WT	2.29673717802e-10	0
TPP	flux	0.0553280130709	WT	2.29673717802e-10	0
TPS	flux	0.0553280130709	WT	2.29673717802e-10	0
UGP	flux	0.0553280130709	WT	2.29673717802e-10	0
acetate_branch	flux	0.0267890353303	WT	2.29673717802e-10	0
succinate_branch	flux	0.0	WT	2.29673717802e-10	0
udp_to_utp	flux	0.0553280130709	WT	2.29673717802e-10	0
HXT	flux	1.99800895743	WT	2.29673717802e-10	0
ADP	conc	1.72835177285	WT	2.29673717802e-10	0
ATP	conc	3.95146006625	WT	2.29673717802e-10	0
AcAld	conc	3.42392902866	WT	2.29673717802e-10	0
BPG	conc	0.00164946078232	WT	2.29673717802e-10	0
DHAP	conc	1.58386845262	WT	2.29673717802e-10	0
F16bP	conc	2.779793152	WT	2.29673717802e-10	0
F6P	conc	0.324786419266	WT	2.29673717802e-10	0
G1P	conc	0.0958701609593	WT	2.29673717802e-10	0
G3P	conc	0.225998262076	WT	2.29673717802e-10	0
G6P	conc	1.21303237022	WT	2.29673717802e-10	0
GAP	conc	0.0672404539006	WT	2.29673717802e-10	0
GLC	conc	0.634506080679	WT	2.29673717802e-10	0
NAD	conc	1.41142050581	WT	2.29673717802e-10	0
P2G	conc	0.0942190744759	WT	2.29673717802e-10	0
P3G	conc	0.518815597727	WT	2.29673717802e-10	0
PEP	conc	0.476614233045	WT	2.29673717802e-10	0
PYR	conc	3.32907182914	WT	2.29673717802e-10	0
T6P	conc	0.0121085244156	WT	2.29673717802e-10	0
UDP	conc	0.187880046432	WT	2.29673717802e-10	0
UTP	conc	0.445232363503	WT	2.29673717802e-10	0
ADH_ADH1	flux	0.373960817806	YBL016W	5.90223870373e-12	14
ADH_ADH5	flux	0.0	YBL016W	5.90223870373e-12	14
AK	flux	-1.66533453694e-16	YBL016W	5.90223870373e-12	14
ATPase	flux	0.35267049566	YBL016W	5.90223870373e-12	14
ENO_ENO1	flux	0.0352571650125	YBL016W	5.90223870373e-12	14
ENO_ENO2	flux	0.346508064266	YBL016W	5.90223870373e-12	14
FBA	flux	0.198687026111	YBL016W	5.90223870373e-12	14
GPD	flux	0.0156088229444	YBL016W	5.90223870373e-12	14
GPM	flux	0.381765229279	YBL016W	5.90223870373e-12	14
GPP	flux	0.0156088229444	YBL016W	5.90223870373e-12	14
HXK_GLK1	flux	7.99566347591e-05	YBL016W	5.90223870373e-12	14
HXK_HXK1	flux	0.00380427024399	YBL016W	5.90223870373e-12	14
HXK_HXK2	flux	0.203793406349	YBL016W	5.90223870373e-12	14
PDC_PDC1	flux	0.370797504096	YBL016W	5.90223870373e-12	14
PDC_PDC5	flux	0.00336675977028	YBL016W	5.90223870373e-12	14
